batter,player,game_year,plate_appearances,chases,chases_in_play,chase_rate,chase_plus,xchase_plus,luck,luck_raw,luck_se,luck_z,chase_plus_rank,xchase_plus_rank,rank_move,chase_plus_raw,xchase_plus_raw,chase_plus_se,xchase_plus_se,league_chase_cost_per_600_pa
670770,Tj Friedl,2024,337,149,36,24.227642276422763,108.80459275670128,101.76532497723788,7.039267779463401,11.412173533135544,9.00700495035339,1.2670331143414977,88.0,128.0,40.0,112.82609192619144,101.4139183930559,14.80272878299908,9.883093159844108,36.03869116391255
676609,José Caballero,2024,480,340,66,34.69387755102041,89.29273457546623,82.31634667833625,6.976387897129982,5.7587736074125075,10.236512090299634,0.5625718561764471,214.0,235.0,21.0,82.40201345311718,76.64323984570467,14.680117445107127,10.27228492042093,36.03869116391255
680776,Jarren Duran,2024,737,395,78,28.25464949928469,87.32534605879653,80.4733413680861,6.85200469071043,6.475644197631283,7.336976251426369,0.8826039468742133,219.0,242.0,23.0,83.45775164203738,76.9821074444061,10.217182643609537,7.724098683429686,36.03869116391255
594807,Adam Duvall,2024,325,214,43,33.64779874213836,83.9818440350915,77.21264006807402,6.769203967017475,2.6143740907899655,13.402556039688578,0.19506533552615632,232.0,252.0,20.0,68.83972025955848,66.22534616876851,18.20802274226633,12.812755764360654,36.03869116391255
518595,Travis D'Arnaud,2024,339,186,36,27.63744427934621,116.0671596887946,109.45642386722902,6.610735821565584,17.03078521578361,12.087321737658977,1.408979225126679,53.0,92.0,39.0,128.58077015514905,111.54998493936544,18.36917118258784,11.353904104350924,36.03869116391255
682626,Francisco Álvarez,2024,342,197,47,29.098966026587885,104.46965997933565,97.8599197206578,6.609740258677846,12.191965763174295,16.63888660246169,0.7327392784424962,110.0,159.0,49.0,107.4870292924706,95.2950635292963,20.511821482128635,13.697136300775227,36.03869116391255
666139,Josh Lowe,2024,386,275,51,33.092659446450064,100.70913376524014,94.20025049143256,6.508883273807584,10.29953777536383,10.435965166416212,0.986927189878765,135.0,183.0,48.0,99.73356048057248,89.43402270520865,19.64462292552884,14.360883139818728,36.03869116391255
665161,Jeremy Peña,2024,645,431,90,37.05932932072227,77.13857011211591,70.79151351172113,6.3470566003947795,2.8746262959068645,9.71192300290198,0.2959894034423367,253.0,260.0,7.0,67.08320535017813,64.20857905427127,12.601258580512244,8.87958260653498,36.03869116391255
642731,Thairo Estrada,2024,382,223,52,35.00784929356358,80.02295299191876,73.70564200129255,6.317310990626211,-2.548063942056636,12.72583148165705,-0.20022769794880618,248.0,257.0,9.0,62.33451785737936,64.882581799436,17.790950979481217,10.776524891656416,36.03869116391255
673357,Luis Robert,2024,422,308,51,36.0233918128655,90.20290320344186,83.9049876628047,6.297915540637163,5.631152418523342,11.833480977574654,0.4758660979972676,208.0,227.0,19.0,82.17440394325985,76.5432515247365,16.46164633741111,12.174793584740032,36.03869116391255
672820,Lenyn Sosa,2024,368,256,79,37.5366568914956,94.8595614242806,88.64925433605904,6.210307088221555,4.060571511862378,15.974566556108696,0.25418977708096935,177.0,205.0,28.0,87.04211128668896,82.98153977482659,21.065874979326,12.305578080935888,36.03869116391255
670042,Luke Raley,2024,455,233,30,28.449328449328448,76.27606087414573,70.15172616671435,6.124334707431373,3.772386965540292,7.99775865585194,0.4716805204893306,255.0,263.0,8.0,67.18893795024682,63.41655098470653,11.774172104367585,8.894203073055564,36.03869116391255
663898,Brendan Rodgers,2024,538,301,56,29.33723196881092,91.73651603966876,85.63082245062789,6.105693589040868,5.230672262943642,8.564457498960605,0.6107418086409377,195.0,220.0,25.0,87.52727270680526,82.29660044386162,12.804951593433945,8.587361092858032,36.03869116391255
682829,Elly De La Cruz,2024,694,389,64,27.01388888888889,97.12364798427168,91.07415066553142,6.049497318740265,6.3890932913438405,8.994126546907435,0.7103628415747257,160.0,197.0,37.0,95.38759553867766,88.99850224733382,12.14172005522058,8.159824447428138,36.03869116391255
694192,Jackson Chourio,2024,569,337,87,32.095238095238095,90.27978497430246,84.34941386820417,5.930371106098292,2.6775628794613056,12.843571322588165,0.2084749492341152,205.0,225.0,20.0,82.75255632206003,80.07499344259872,15.993074506402568,9.386005469792693,36.03869116391255
600869,Jeimer Candelario,2024,462,322,84,34.96199782844734,87.23375763760075,81.65521478148221,5.578542856118531,0.24082959899422463,14.202232378075442,0.016957165083849986,220.0,238.0,18.0,75.15333133529333,74.9125017362991,17.99996347852729,11.025373798530184,36.03869116391255
571745,Mitch Haniger,2024,425,205,37,23.92065344224037,106.78514383189008,101.25895362305975,5.526190208830329,9.605796888525092,11.772901805209782,0.8159243190386846,101.0,134.0,33.0,110.28537184974724,100.67957496122214,16.31861731244574,10.869630516906591,36.03869116391255
647304,Josh Naylor,2024,631,402,112,32.47172859450727,87.01433277783309,81.57863649034269,5.435696287490401,-0.5528997858602764,14.291866277884361,-0.03868632515235951,222.0,239.0,17.0,75.5574143273988,76.11031411325908,17.397747073929644,9.9113122396384,36.03869116391255
663368,Blake Perkins,2024,432,206,56,24.03733955659277,117.47451464942183,112.0407432313564,5.433771418065433,15.92445265562489,13.71509327405775,1.1610896358791936,43.0,77.0,34.0,129.99516632644415,114.07071367081926,17.536127352097058,9.413871533749145,36.03869116391255
572138,Jon Singleton,2024,406,191,38,22.73809523809524,130.91874406055047,125.57676756777,5.341976492780461,16.020345748060606,9.037475396672438,1.77265719074148,9.0,24.0,15.0,149.13658468194154,133.11623893388094,15.544763870526566,11.419052917658574,36.03869116391255
807799,Masataka Yoshida,2024,416,197,58,25.718015665796344,111.54645387880242,106.24969444261043,5.296759436191991,10.43533738063472,11.193686776963029,0.9322520442604294,69.0,103.0,34.0,117.38676791787786,106.95143053724314,15.156089589431163,9.383896670525033,36.03869116391255
664034,Ty France,2024,531,269,46,27.22672064777328,99.58164934982456,94.43999370366296,5.141655646161595,5.95289524099897,7.224159044271332,0.8240260498859784,142.0,181.0,39.0,98.95694141130237,93.0040461703034,10.719972598925226,7.990104962881816,36.03869116391255
672695,Geraldo Perdomo,2024,387,138,45,19.00826446280992,135.3459269425034,130.29270705899316,5.053219883510252,15.76683849121784,10.664428890552665,1.478451275078149,3.0,16.0,13.0,150.16409517756978,134.39725668635194,13.064957438572154,7.658295214956174,36.03869116391255
676391,Ernie Clement,2024,451,305,124,43.44729344729345,89.94824533015571,85.02621488350357,4.922030446652144,-3.3185851785785587,18.011849233708226,-0.1842445567647769,212.0,224.0,12.0,76.62239062165793,79.94097580023649,20.976930475969727,10.426888943432065,36.03869116391255
682985,Riley Greene,2024,582,284,65,23.164763458401303,111.3361974834695,106.49008074540724,4.846116738062264,7.819865089112213,8.45947422694388,0.9243913840656339,74.0,102.0,28.0,115.17344172772545,107.35357663861323,12.418258182492394,10.02665717604871,36.03869116391255
687401,Joey Ortiz,2024,513,257,73,24.759152215799617,106.85108328707736,102.28522455328375,4.565858733793604,8.433593370422301,12.78694329243871,0.6595472567247036,100.0,125.0,25.0,110.47753396094754,102.04394059052524,16.503812853936637,10.340183863566166,36.03869116391255
666149,Tyler Fitzgerald,2024,340,173,26,26.86335403726708,96.8942683139566,92.37377931352468,4.5204890004319225,5.132988331728214,9.051582245601658,0.5670818860672049,164.0,192.0,28.0,93.98804717432203,88.85505884259382,15.329168963644769,11.246048601333946,36.03869116391255
668804,Bryan Reynolds,2024,688,421,77,30.3314121037464,98.11002436768534,93.69726343252864,4.412760935156697,5.307022112251474,7.172568940865109,0.7399053471644115,151.0,186.0,35.0,96.74005823753588,91.4330361252844,12.181718308857617,9.631490285326892,36.03869116391255
691718,Pete Crow-Armstrong,2024,409,286,71,41.26984126984127,90.10313823913629,85.73876663947132,4.364371599664963,2.2270795303616353,11.589021994175605,0.1921714818973437,209.0,218.0,9.0,80.70670796029668,78.47962842993505,17.73207788138643,12.71002227360948,36.03869116391255
677951,Bobby Witt,2024,705,433,138,31.93215339233038,123.70250375481434,119.3901727348308,4.312331019983546,15.977704239871258,12.82701689609212,1.2456290008270767,25.0,48.0,23.0,139.73925096074896,123.7615467208777,16.80591973117055,10.218661818424703,36.03869116391255
624585,Jorge Soler,2024,571,337,55,26.938449240607515,99.64666930572204,95.40474618589384,4.241923119828201,5.0662458025633725,8.528228066020224,0.59405608801074,141.0,175.0,34.0,98.75182147626714,93.68557567370377,13.032699955212552,9.270489373442734,36.03869116391255
661388,William Contreras,2024,674,359,69,25.771715721464467,104.45026452541474,100.28098775126314,4.169276774151598,5.948739016010535,9.433020795501143,0.6306292697719532,111.0,144.0,33.0,105.69445887144336,99.74571985543282,13.2176474513928,8.489826541488812,36.03869116391255
664913,Seth Brown,2024,401,239,34,30.10075566750629,72.11303735225728,68.13444409068867,3.978593261568605,2.1635167099934876,7.009567415829399,0.30865195833735937,261.0,264.0,3.0,59.3358576264705,57.17234091647701,12.941748375449915,11.015354379068254,36.03869116391255
682998,Corbin Carroll,2024,683,346,95,25.0,110.50615053263282,106.57832520433686,3.9278253282959525,8.093275255751749,11.955740245368602,0.6769363577371891,79.0,101.0,22.0,115.23254079298697,107.13926553723522,14.41626249684558,7.97636161129012,36.03869116391255
664056,Harrison Bader,2024,434,277,65,33.616504854368934,69.87183215338345,66.04786284978898,3.823969303594467,-5.539744188438732,11.199281413391756,-0.494651753443259,263.0,266.0,3.0,49.31502171427375,54.85476590271248,15.826763607111952,10.813374532851537,36.03869116391255
666160,Mickey Moniak,2024,418,305,66,39.1025641025641,58.053956608174914,54.27920959149122,3.7747470166836976,-7.23987447969315,12.13938203301458,-0.5963956369445659,269.0,269.0,0.0,32.81022740960172,40.05010188929487,14.976297955004911,10.623411470995087,36.03869116391255
521692,Salvador Pérez,2024,645,559,163,43.40062111801242,86.71698922439302,82.94306966597264,3.773919558420374,-1.253102136346854,15.667714065480578,-0.07997989567014845,223.0,233.0,10.0,73.27540740147519,74.52850953782205,18.65642483421049,12.702861292777357,36.03869116391255
664774,Lamonte Wade,2024,395,169,30,20.09512485136742,110.35838983438929,106.654061711093,3.7043281232962926,8.031562740993806,11.970065336308206,0.670970668525264,80.0,98.0,18.0,115.6607996931754,107.6292369521816,15.3990700454433,10.402292379804166,36.03869116391255
623993,Anthony Santander,2024,663,493,124,34.11764705882353,102.36459235827496,98.7548863472724,3.609706011002558,5.598605703123397,11.81361154955679,0.4739114435613417,124.0,156.0,32.0,102.86200861191892,97.26340290879553,16.89801932178829,11.45695109277642,36.03869116391255
642715,Willy Adames,2024,688,386,63,28.11361981063365,93.78070704063929,90.28041935498722,3.5002876856520686,3.021540949044706,7.498627631838969,0.4029458585482129,187.0,200.0,13.0,90.94079936606022,87.91925841701551,11.7991615393903,8.43052431964104,36.03869116391255
680777,Ryan Jeffers,2024,461,325,95,34.871244635193136,97.8474065554265,94.51823452795804,3.3291720274684593,2.0397279670312827,15.947373400239037,0.1279036939713664,155.0,180.0,25.0,93.46965580192136,91.42992783489008,21.01859817390143,11.770652587665046,36.03869116391255
641680,Jonah Heim,2024,491,284,82,32.126696832579185,91.31124997322914,88.09212835172421,3.219121621504925,-0.25979589086011856,12.804601293588378,-0.020289260470000393,198.0,207.0,9.0,84.15221536277451,84.41201125363463,16.35375531065467,9.730784076694912,36.03869116391255
663993,Nathaniel Lowe,2024,566,282,58,23.53923205342237,127.39586835308296,124.21176975171986,3.184098601363104,13.606098125443197,11.28645106495415,1.2055249295938422,14.0,27.0,13.0,143.04281322031238,129.4367150948692,15.361676065922897,9.809407683330972,36.03869116391255
669701,Josh Smith,2024,588,287,65,26.162260711030083,108.0037229103024,105.1116850284393,2.8920378818631036,4.349091257962542,7.269151510660301,0.5982942096590703,91.0,108.0,17.0,109.75580936987774,105.4067181119152,10.371816214837477,7.655788746297209,36.03869116391255
457705,Andrew Mccutchen,2024,514,181,29,17.38712776176753,125.5155698131565,122.6520406681179,2.863529145038598,7.217526064416774,7.509436687630664,0.961127493931107,17.0,34.0,17.0,133.2597356073965,126.04220954297972,11.225485189703232,8.211610363178975,36.03869116391255
676694,Jake Meyers,2024,512,290,65,31.453362255965292,98.9753284635026,96.1308237483348,2.844504715167801,3.365193564123075,8.235684613746733,0.4086112717946976,146.0,169.0,23.0,97.72582138474384,94.36062782062076,13.360398662424297,9.88096281054319,36.03869116391255
670032,Nicky Lopez,2024,446,223,70,27.875,103.41347254856102,100.706206088528,2.7072664600330114,3.9255117308247662,9.197410259276564,0.4268062008939387,118.0,138.0,20.0,104.1039677615432,100.17845603071844,12.46025101394939,9.13121071063456,36.03869116391255
543760,Marcus Semien,2024,715,338,81,25.39444027047333,114.41124795695468,111.85892321953604,2.552324737418644,5.544907173064701,9.581483422218184,0.5787107203261239,59.0,79.0,20.0,118.72840302375846,113.18349585069376,11.470100712970464,7.683397007392525,36.03869116391255
656555,Rhys Hoskins,2024,517,277,52,25.48298068077277,118.33340587821183,115.81052826966396,2.522877608547873,10.218918985824487,11.631483426226735,0.8785568109724345,37.0,61.0,24.0,128.88145713196084,118.66253814613636,15.674778242331664,9.349067469912876,36.03869116391255
663624,Ryan Mountcastle,2024,506,377,101,38.23529411764706,88.43816528558528,85.94802221668951,2.490143068895776,-4.500402449936317,15.750140919551642,-0.28573728152169636,216.0,216.0,0.0,74.97757418462218,79.4779766345585,19.8451015571738,12.072062912024675,36.03869116391255
686676,Korey Lee,2024,395,238,41,35.20710059171598,69.78822062697559,67.31282192523526,2.475398701740332,-6.247509881577784,12.043911062347915,-0.5187276665558386,264.0,265.0,1.0,51.94171585914147,58.18922574071925,14.7272260535082,9.93343853474793,36.03869116391255
630105,Jake Cronenworth,2024,656,301,65,22.872340425531917,117.99630818103611,115.61728861524898,2.3790195657871323,5.3106920269596,8.391764493638963,0.632845694250018,40.0,62.0,22.0,122.82711214131956,117.51642011435996,10.716872554594094,7.687991639166987,36.03869116391255
679032,Johan Rojas,2024,361,226,71,34.93044822256569,99.84529794340024,97.55687078666672,2.288427156733519,2.036429593268437,18.430297284758108,0.11049358357081784,140.0,161.0,21.0,97.79665379207944,95.760224198811,20.75430409835375,11.149510261124366,36.03869116391255
666971,Lourdes Gurriel,2024,550,341,95,32.97872340425532,116.62497964215028,114.37673753610648,2.2482421060438043,14.56138748908461,15.364529415131917,0.9477275284945385,47.0,69.0,22.0,132.62174400489977,118.06035651581516,20.37741022161853,11.283698462598792,36.03869116391255
641857,Ryan Mcmahon,2024,646,342,83,26.47058823529412,107.9560028458489,105.86614721366686,2.0898556321820365,4.167665879966961,8.771699215486644,0.4751264011206458,92.0,104.0,12.0,110.69079038594457,106.5231245059776,13.007268460927133,9.701856598228282,36.03869116391255
683002,Gunnar Henderson,2024,716,345,90,23.31081081081081,124.1860841640566,122.3228198804312,1.8632642836253979,6.076006740239421,8.97279418610221,0.6771588219030402,22.0,37.0,15.0,133.03587922352474,126.95987248328532,12.34957955879339,9.68584801415562,36.03869116391255
592669,Hunter Renfroe,2024,424,220,63,26.506024096385545,103.64446218948804,101.94409031754738,1.7003718719406606,3.35267374964387,10.399327313984275,0.322393328762278,116.0,126.0,10.0,104.900891847876,101.54821809823213,15.783948696182913,11.234359252683198,36.03869116391255
668930,Brice Turang,2024,616,319,88,28.155339805825243,116.53193067526658,114.85040308703871,1.6815275882278655,10.219594925131162,15.04750198230209,0.6791555792550016,49.0,66.0,17.0,126.7757113133458,116.55611638821463,16.357619316477226,7.521172890936858,36.03869116391255
666397,Edouard Julien,2024,301,109,19,17.868852459016395,118.52990371303136,116.8985481384373,1.6313555745940533,6.264141132631494,9.256627101839642,0.6767196154403338,36.0,56.0,20.0,127.17726084195722,120.91311970932573,14.109395452483945,10.643785565349187,36.03869116391255
573262,Mike Yastrzemski,2024,473,227,55,23.91991570073762,116.22046138853275,114.58940575788058,1.6310556306521704,6.622533990411,10.29519106870946,0.6432647967592464,52.0,67.0,15.0,124.44053808071376,117.81800409030276,14.809252907497063,10.465079602051148,36.03869116391255
621020,Dansby Swanson,2024,594,267,56,23.98921832884097,112.1411279399418,110.5348679645143,1.6062599754274913,3.5869502489974536,7.113855619597318,0.5042202767112799,66.0,86.0,20.0,115.36782605423043,111.78087580523298,10.940268237553862,8.09341825657487,36.03869116391255
